symbol,date,close,volume,ret_1,vol_ratio,ret_1_lag1,ret_1_lag2,ret_1_lag3,vol_ratio_lag1,vol_ratio_lag2,vol_ratio_lag3,is_price_lt_500,top_buyer,top_buyer_concentration,top_buyer_net_value,total_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
FASW,2025-09-02,,,,,,,,,,,0,,,,,,,,
FILM,2025-09-02,,,,,,,,,,,0,,,,,,,,
FIMP,2025-09-02,,,,,,,,,,,0,,,,,,,,
FIRE,2025-09-02,,,,,,,,,,,0,,,,,,,,
FISH,2025-09-02,,,,,,,,,,,0,,,,,,,,
FITT,2025-09-02,,,,,,,,,,,0,,,,,,,,
FLMC,2025-09-02,,,,,,,,,,,0,,,,,,,,
FMII,2025-09-02,,,,,,,,,,,0,,,,,,,,
FOLK,2025-09-02,,,,,,,,,,,0,,,,,,,,
FOOD,2025-09-02,,,,,,,,,,,0,,,,,,,,
FORE,2025-09-02,,,,,,,,,,,0,,,,,,,,
FORU,2025-09-02,,,,,,,,,,,0,,,,,,,,
FPNI,2025-09-02,,,,,,,,,,,0,,,,,,,,
FUJI,2025-09-02,,,,,,,,,,,0,,,,,,,,
FUTR,2025-09-02,,,,,,,,,,,0,,,,,,,,
FWCT,2025-09-02,,,,,,,,,,,0,,,,,,,,
GAMA,2025-09-02,,,,,,,,,,,0,,,,,,,,
GDST,2025-09-02,,,,,,,,,,,0,,,,,,,,
GDYR,2025-09-02,,,,,,,,,,,0,,,,,,,,
GEMA,2025-09-02,,,,,,,,,,,0,,,,,,,,
GEMS,2025-09-02,,,,,,,,,,,0,,,,,,,,
GGRM,2025-09-02,,,,,,,,,,,0,,,,,,,,
GGRP,2025-09-02,,,,,,,,,,,0,,,,,,,,
GHON,2025-09-02,,,,,,,,,,,0,,,,,,,,
GIAA,2025-09-02,,,,,,,,,,,0,,,,,,,,
GJTL,2025-09-02,,,,,,,,,,,0,,,,,,,,
GLOB,2025-09-02,,,,,,,,,,,0,,,,,,,,
GLVA,2025-09-02,,,,,,,,,,,0,,,,,,,,
GMFI,2025-09-02,,,,,,,,,,,0,,,,,,,,
GMTD,2025-09-02,,,,,,,,,,,0,,,,,,,,
GOLD,2025-09-02,,,,,,,,,,,0,,,,,,,,
GOLF,2025-09-02,,,,,,,,,,,0,,,,,,,,
GOLL,2025-09-02,,,,,,,,,,,0,,,,,,,,
GOOD,2025-09-02,,,,,,,,,,,0,,,,,,,,
GOTO,2025-09-02,,,,,,,,,,,0,,,,,,,,
GPRA,2025-09-02,,,,,,,,,,,0,,,,,,,,
GPSO,2025-09-02,,,,,,,,,,,0,,,,,,,,
GRIA,2025-09-02,,,,,,,,,,,0,,,,,,,,
GRPH,2025-09-02,,,,,,,,,,,0,,,,,,,,
GRPM,2025-09-02,,,,,,,,,,,0,,,,,,,,
GSMF,2025-09-02,,,,,,,,,,,0,,,,,,,,
GTBO,2025-09-02,,,,,,,,,,,0,,,,,,,,
GTRA,2025-09-02,,,,,,,,,,,0,,,,,,,,
GTSI,2025-09-02,,,,,,,,,,,0,,,,,,,,
GULA,2025-09-02,,,,,,,,,,,0,,,,,,,,
GUNA,2025-09-02,,,,,,,,,,,0,,,,,,,,
GWSA,2025-09-02,,,,,,,,,,,0,,,,,,,,
GZCO,2025-09-02,,,,,,,,,,,0,,,,,,,,
HADE,2025-09-02,,,,,,,,,,,0,,,,,,,,
HAIS,2025-09-02,,,,,,,,,,,0,,,,,,,,
HAJJ,2025-09-02,,,,,,,,,,,0,,,,,,,,
HALO,2025-09-02,,,,,,,,,,,0,,,,,,,,
HATM,2025-09-02,,,,,,,,,,,0,,,,,,,,
HBAT,2025-09-02,,,,,,,,,,,0,,,,,,,,
HDFA,2025-09-02,,,,,,,,,,,0,,,,,,,,
HDIT,2025-09-02,,,,,,,,,,,0,,,,,,,,
HEAL,2025-09-02,,,,,,,,,,,0,,,,,,,,
HELI,2025-09-02,,,,,,,,,,,0,,,,,,,,
HERO,2025-09-02,,,,,,,,,,,0,,,,,,,,
HEXA,2025-09-02,,,,,,,,,,,0,,,,,,,,
HGII,2025-09-02,,,,,,,,,,,0,,,,,,,,
HILL,2025-09-02,,,,,,,,,,,0,,,,,,,,
HITS,2025-09-02,,,,,,,,,,,0,,,,,,,,
HKMU,2025-09-02,,,,,,,,,,,0,,,,,,,,
HMSP,2025-09-02,,,,,,,,,,,0,,,,,,,,
HOKI,2025-09-02,,,,,,,,,,,0,,,,,,,,
HOME,2025-09-02,,,,,,,,,,,0,,,,,,,,
HOMI,2025-09-02,,,,,,,,,,,0,,,,,,,,
HOPE,2025-09-02,,,,,,,,,,,0,,,,,,,,
HOTL,2025-09-02,,,,,,,,,,,0,,,,,,,,
HRME,2025-09-02,,,,,,,,,,,0,,,,,,,,
HRTA,2025-09-02,,,,,,,,,,,0,,,,,,,,
HRUM,2025-09-02,,,,,,,,,,,0,,,,,,,,
HUMI,2025-09-02,,,,,,,,,,,0,,,,,,,,
HYGN,2025-09-02,,,,,,,,,,,0,,,,,,,,
IATA,2025-09-02,,,,,,,,,,,0,,,,,,,,
