symbol,date,close,volume
TIRT,2025-09-02,,
TKIM,2025-09-02,,
TLDN,2025-09-02,,
TLKM,2025-09-02,,
TMAS,2025-09-02,,
TMPO,2025-09-02,,
TNCA,2025-09-02,,
TOBA,2025-09-02,,
TOOL,2025-09-02,,
TOPS,2025-09-02,,
TOSK,2025-09-02,,
TOTL,2025-09-02,,
TOTO,2025-09-02,,
TOWR,2025-09-02,,
TOYS,2025-09-02,,
TPIA,2025-09-02,,
TPMA,2025-09-02,,
TRAM,2025-09-02,,
TRGU,2025-09-02,,
TRIL,2025-09-02,,
TRIM,2025-09-02,,
TRIN,2025-09-02,,
TRIO,2025-09-02,,
TRIS,2025-09-02,,
TRJA,2025-09-02,,
TRON,2025-09-02,,
TRST,2025-09-02,,
TRUE,2025-09-02,,
TRUK,2025-09-02,,
TRUS,2025-09-02,,
TSPC,2025-09-02,,
TUGU,2025-09-02,,
TYRE,2025-09-02,,
UANG,2025-09-02,,
UCID,2025-09-02,,
UDNG,2025-09-02,,
UFOE,2025-09-02,,
ULTJ,2025-09-02,,
UNIC,2025-09-02,,
UNIQ,2025-09-02,,
UNIT,2025-09-02,,
UNSP,2025-09-02,,
UNTD,2025-09-02,,
UNTR,2025-09-02,,
UNVR,2025-09-02,,
URBN,2025-09-02,,
UVCR,2025-09-02,,
VAST,2025-09-02,,
VERN,2025-09-02,,
VICI,2025-09-02,,
VICO,2025-09-02,,
VINS,2025-09-02,,
VISI,2025-09-02,,
VIVA,2025-09-02,,
VKTR,2025-09-02,,
VOKS,2025-09-02,,
VRNA,2025-09-02,,
VTNY,2025-09-02,,
WAPO,2025-09-02,,
WEGE,2025-09-02,,
WEHA,2025-09-02,,
WGSH,2025-09-02,,
WICO,2025-09-02,,
WIDI,2025-09-02,,
WIFI,2025-09-02,,
WIIM,2025-09-02,,
WIKA,2025-09-02,,
WINE,2025-09-02,,
WINR,2025-09-02,,
WINS,2025-09-02,,
WIRG,2025-09-02,,
WMPP,2025-09-02,,
WMUU,2025-09-02,,
WOMF,2025-09-02,,
WOOD,2025-09-02,,
WOWS,2025-09-02,,
WSBP,2025-09-02,,
WSKT,2025-09-02,,
WTON,2025-09-02,,
YELO,2025-09-02,,
YOII,2025-09-02,,
YPAS,2025-09-02,,
YULE,2025-09-02,,
YUPI,2025-09-02,,
ZATA,2025-09-02,,
ZBRA,2025-09-02,,
ZINC,2025-09-02,,
ZONE,2025-09-02,,
ZYRX,2025-09-02,,
